Variable,Problema detectado,Transformacion,Registros afectados,Justificacion
ESTABLECIMIENTO,"Espacios extra/invisibles (NBSP, control, dobles espacios, bordes)",strip() + colapso de espacios multiples + remocion de caracteres de control,1392,Uniformiza el texto para comparaciones/joins y evita falsos 'no duplicados' por diferencias invisibles
DIRECCION,"Espacios extra/invisibles (NBSP, control, dobles espacios, bordes)",strip() + colapso de espacios multiples + remocion de caracteres de control,485,Uniformiza el texto para comparaciones/joins y evita falsos 'no duplicados' por diferencias invisibles
TELEFONO,"Espacios extra/invisibles (NBSP, control, dobles espacios, bordes)",strip() + colapso de espacios multiples + remocion de caracteres de control,8,Uniformiza el texto para comparaciones/joins y evita falsos 'no duplicados' por diferencias invisibles
SUPERVISOR,"Espacios extra/invisibles (NBSP, control, dobles espacios, bordes)",strip() + colapso de espacios multiples + remocion de caracteres de control,102,Uniformiza el texto para comparaciones/joins y evita falsos 'no duplicados' por diferencias invisibles
DIRECTOR,"Espacios extra/invisibles (NBSP, control, dobles espacios, bordes)",strip() + colapso de espacios multiples + remocion de caracteres de control,867,Uniformiza el texto para comparaciones/joins y evita falsos 'no duplicados' por diferencias invisibles
DIRECCION,"Valores centinela de faltante escritos como texto ('--', '.', 'SIN DATO', 'N/A', ...)",Se reemplazan por NA,13,Estos tokens no son datos validos: son marcadores de informacion no disponible capturados por el sistema de origen
SUPERVISOR,"Valores centinela de faltante escritos como texto ('--', '.', 'SIN DATO', 'N/A', ...)",Se reemplazan por NA,3,Estos tokens no son datos validos: son marcadores de informacion no disponible capturados por el sistema de origen
DIRECTOR,"Valores centinela de faltante escritos como texto ('--', '.', 'SIN DATO', 'N/A', ...)",Se reemplazan por NA,407,Estos tokens no son datos validos: son marcadores de informacion no disponible capturados por el sistema de origen
DEPARTAMENTO,'CIUDAD CAPITAL' no es uno de los 22 departamentos oficiales; es la ciudad de Guatemala,Se unifica CIUDAD CAPITAL -> GUATEMALA,2161,El catalogo oficial de Guatemala tiene 22 departamentos. CIUDAD CAPITAL era una categoria de conveniencia del sitio de origen para separar la consulta de la capital del resto del departamento de Guatemala
MUNICIPIO,"Para los ex-CIUDAD CAPITAL, MUNICIPIO traia la zona de la ciudad ('ZONA 1') en vez del nombre del municipio",MUNICIPIO='GUATEMALA' (municipio real) + nueva variable derivada ZONA_CIUDAD_GUATEMALA con el numero de zona,2161,El municipio de un establecimiento en la ciudad de Guatemala es 'Guatemala'; la zona es informacion valida de otro nivel de granularidad y se preserva como variable derivada en vez de perderla
DISTRITO,"Codigos truncados/incompletos (ej. '01-', '17-') y dos esquemas de codigo distintos conviviendo en la misma columna (XX-XXX y XX-XX-XXXX)","Los codigos truncados se convierten en NA; los dos formatos validos se documentan y se conservan sin forzar una unificacion (representan generaciones distintas del codigo de supervision, no un error)",70,Un codigo truncado no identifica un distrito real; es preferible tratarlo como faltante a inventar el segmento que falta
TELEFONO,"Formatos heterogeneos: numeros con guiones/diagonales, varios numeros en un mismo campo ('78208583-78209143'), texto mezclado ('FAX','Y','AL'), longitudes distintas a 8 digitos","Se extraen todas las secuencias de 7-8 digitos con regex; la primera pasa a TELEFONO_PRINCIPAL (formato uniforme de digitos, sin separadores), las adicionales a TELEFONO_SECUNDARIO, y se agrega la bandera TELEFONO_VALIDO (True solo si tiene 8 digitos)",277,Un telefono guatemalteco valido tiene 8 digitos; preservar los numeros adicionales evita perder informacion de contacto y la bandera permite filtrar registros no verificables
__DEPTO_CODE,Tipo numerico (int) para lo que en realidad es un codigo categorico; ademas pierde el cero a la izquierda al mostrarse (5 en vez de '05'),Se convierte a texto de 2 digitos con cero a la izquierda y se renombra a COD_DEPARTAMENTO_ORIGEN,11868,"Es un identificador (codigo del departamento tal como lo uso el formulario del scraper), no una cantidad sobre la que tenga sentido sumar/promediar"
(fila completa),Registros identicos en todas las columnas excepto CODIGO (posible doble registro del mismo establecimiento/oferta),NO se eliminan; se marca DUPLICADO_EXACTO_SIN_CODIGO=True para revision manual,385,El enunciado exige no borrar automaticamente: puede tratarse del mismo establecimiento con dos codigos administrativos vigentes (ej. reinscripciones)
(fila completa),"Nombres de establecimiento muy similares (posible variante de escritura) dentro del mismo departamento/municipio, detectados con similitud de cadenas (umbral 0.90)",NO se fusionan ni eliminan; se marca POSIBLE_DUPLICADO_PARCIAL=True para revision manual caso por caso,2001,"Nombres parecidos pueden ser establecimientos legitimamente distintos (ej. nombres genericos como 'INSTITUTO NACIONAL DE EDUCACION DIVERSIFICADA' repetidos en varios municipios, o el mismo colegio con jornadas/planes registrados por separado); requiere criterio humano, no automatizacion ciega"
